"label","subject","body"
"spam","Youre our winner","Congratulations! You completed a survey in our system and have been chosen as our winner. Claim your prize by logging in. If you do not respond within 24 hours your prize will go to another participant."
"spam","ACCOUNT PAYMENTS","Unfortunately your payment was declined. Please update your payment information within the next 48 hours to keep your account active."
"spam","Action needed for your account","Sorry we misplaced your order. All we need is for you to click the button and fill out your information. As an apology here is a $50 Amazon gift card."
"ham","Special offer at the post office","From March 30 to April 30 get a 10% discount on sending packages flat rate boxes prepaid envelopes and packaging supplies at the post office."
"ham","Does city life impact cognition","A study of Lumosity users found that people living in densely populated cities scored higher on fluid intelligence than those in rural areas."
"ham","Team Member at Poulet Rouge","Hi Kyle it looks like your background could be a match for this Team Member role. Please submit a quick application if you have any interest."
"ham","Updates to Chess.com Policies","Dear user we are writing to notify you that we have updated our legal policies. These changes support the development of new features and user trust."
"spam","Get Rich Quick","Invest $100 today and earn $1000 tomorrow. This is a limited time opportunity and spots are filling quickly. Do not miss out on this exclusive deal. Click the link now."
"spam","URGENT Account Suspended","Your account has been suspended due to suspicious activity. Verify your identity immediately using the link below to avoid permanent deletion of your account."
"ham","Meeting Tomorrow","Hi team just a reminder that we have our weekly sync tomorrow at 10am in the main boardroom. Please come prepared with your updates. See you then."
"ham","Package Delivered","Your package has been delivered to your front door. If you have any issues with your delivery please contact our support team within 48 hours."
"ham","Library Book Due Friday","This is a reminder that you have books due back at the library on Friday. You can renew them online or in person at the front desk."
"ham","Doctor Appointment Wednesday","This is a reminder for your appointment with Dr Smith on Wednesday at 2:30pm. Please arrive 10 minutes early to complete your intake forms."
"ham","Course Enrollment Confirmed","You have successfully enrolled in COMP 3400 Machine Learning. Your first class is on Monday September 8th at 9am in room 204."
"spam","Exclusive Credit Offer","You have been pre-approved for an exclusive credit offer with 0% interest for 12 months. Act now before this limited time deal expires tonight."
"ham","Homework Reminder Assignment 2","Hey everyone just a reminder that assignment 2 is due this Sunday at 11:59pm. Let me know if you have any questions. Good luck!"
"spam","Your Subscription Expires Soon","Your Netflix subscription is about to expire. Update your billing information now to avoid losing access to your favorite shows and movies."
"ham","Dentist Appointment Thursday","Hi this is a reminder for your dental cleaning appointment on Thursday at 3pm with Dr Lee. Please call us if you need to reschedule."
"ham","Gym Membership Auto Renewal","Your gym membership renewal is coming up on the 15th. No action needed it will auto renew. Let us know if you would like to make any changes."
"spam","Buy Cheap Medications Online","Buy prescription medications online without a prescription. Lowest prices guaranteed. Discreet shipping worldwide. Order today and save 80% off retail prices."
"spam","Work from Home Earn $500 Daily","Make $500 a day working from home. No experience needed. Set your own hours. This is a legitimate work from home opportunity. Sign up now for free."
"spam","Congratulations You Won","You have been randomly selected to receive a $500 Walmart gift card. To claim your reward simply click below and complete a short survey."
"ham","Volunteer Opportunity Saturday","Hi we are looking for volunteers for the annual food drive this Saturday from 9am to 2pm. If you are interested please reply to this email."
"ham","Monthly Bank Statement Ready","Your monthly bank statement for March is now available in your online banking portal. No action is required. Contact us if you notice any discrepancies."
"ham","Interview Invitation April 10","Hi thank you for applying to the software developer position. We would like to invite you for an interview on April 10th at 11am. Please confirm your availability."
"ham","Team Lunch Friday","Hey everyone we are planning a team lunch this Friday at noon at The Burger Joint on Main Street. Hope to see you all there. RSVP by Thursday."
"spam","Unlock Your Locked Account","Your account has been locked due to suspicious activity. Click here immediately to verify your identity and restore access before your account is permanently deleted."
"ham","Order Confirmed Shipping Soon","Thank you for your order. Your order number 83920 has been confirmed and will be shipped within 2 business days. You will receive a tracking number by email."
"ham","CS Department Weekly Newsletter","Here is your weekly digest from the Computer Science department. This week includes upcoming career fair info a research spotlight and club event listings."
"spam","Limited Time Sale Ends Tonight","Only 3 hours left. Our biggest sale of the year ends tonight. Up to 90% off everything. Free shipping on all orders. Click now before it is too late."
"spam","VIP Rewards Club Invitation","You have been specially selected to join our VIP rewards program. Earn cash back on every purchase. Sign up today for free and get a $25 bonus instantly."
"ham","One on One Reminder Today","Reminder your one on one with your manager is scheduled for today at 4pm. The meeting link is in your calendar invite. Let me know if you need to reschedule."
